Константин Костин;79669333355;Mavis12@ya.ru;0;male;Санкт-Петербург, Дроздова пр., д.81, кв.815;;24.04.1996;;;2;Серебрянный;3741;4642
Никита Капустин;79069554611;Claudine68@gmail.com;0;male;Санкт-Петербург, Сергеева пл., д.81, кв.198;;06.11.1989;;Оффлайн реклама;3;Серебрянный;13;9157
Валерий Князев;79815760628;Rosella8@ya.ru;0;male;Санкт-Петербург, Кудрявцев пл., д.69, кв.308;;04.11.1995;VIP;Совет друзей;5;Платиновый;9057;7404
Аркадий Нестеров;79738802532;Henderson_@ya.ru;0;male;Санкт-Петербург, Кудрявцев пл., д.30, кв.453;;27.07.1999;;Газета;8;Платиновый;9316;3323
Светлана Комарова;79714981331;Lucas_@ya.ru;0;female;Санкт-Петербург, Дроздова проспект, д.82, кв.469;;04.01.1992;;Другой источник;13;;3070;2696
Игорь Иванов;79109466830;Assunta19@hotmail.com;0;male;Санкт-Петербург, Дроздова проспект, д.65, кв.315;;01.03.1980;;Оффлайн реклама;21;;6813;5515
Вадим Иванов;79413456995;Garfield3@mail.ru;0;male;Санкт-Петербург, Кудрявцев пл., д.63, кв.963;;13.06.1999;;;34;Золотой;3320;6533
Артём Субботин;79302533327;Dax.26@mail.ru;0;male;Санкт-Петербург, Кудрявцев площадь, д.41, кв.445;;09.04.1983;;Совет друзей;55;Бронзовый;1365;458
Анна Мельникова;79324831272;Luella_@ya.ru;0;female;Санкт-Петербург, Кудрявцев площадь, д.34, кв.653;;14.12.1980;;Газета;89;Золотой;2623;8039
Фёдор Носков;79390223250;Riley83@gmail.com;0;male;Санкт-Петербург, Кудрявцев пр., д.66, кв.610;;30.11.1991;;Совет друзей;144;Золотой;3048;7778
Жанна Афанасьева;79435469136;Logan48@mail.ru;0;female;Санкт-Петербург, Кудрявцев пл., д.44, кв.672;;23.11.1972;VIP;Оффлайн реклама;233;Платиновый;6871;9718
Иван Воронцов;79032691855;Karlie40@ya.ru;0;male;Санкт-Петербург, Кудрявцев пр., д.67, кв.478;;17.01.1987;;Газета;377;Серебрянный;7159;5391
Олег Гришин;79375006783;Jayson.88@gmail.com;0;male;Санкт-Петербург, Кудрявцев улица, д.98, кв.65;;20.07.1972;VIP;Другой источник;610;Золотой;1970;2160
Евгения Степанова;79135962846;Quinten17@gmail.com;0;female;Санкт-Петербург, Симонова пр., д.42, кв.55;;10.10.1994;;;987;Бронзовый;3345;3659
Марина Федорова;79360184366;Dudley90@yandex.ru;0;female;Санкт-Петербург, Кудрявцев пл., д.70, кв.678;;24.03.1979;;Газета;1597;Бронзовый;9179;2516
Юлия Иванова;79524318052;Marianne_90@yahoo.com;0;female;Санкт-Петербург, Лукин улица, д.98, кв.485;;12.05.1975;;Совет друзей;2584;Бронзовый;8420;9480
Валентин Киселев;79486311761;Kale_57@mail.ru;0;male;Санкт-Петербург, Кудрявцев пр., д.89, кв.271;;21.10.1978;;Газета;4181;Бронзовый;5641;4134
Егор Кудряшов;79552966412;Judd_65@yahoo.com;0;male;Санкт-Петербург, Кудрявцев ул., д.50, кв.286;;07.09.2000;;Газета;6765;Платиновый;6084;1076
Геннадий Мухин;79058650783;Icie13@ya.ru;0;male;Санкт-Петербург, Артемьева пл., д.71, кв.294;;06.10.1979;;Газета;10946;Платиновый;4851;599
Людмила Артемьева;79401614944;Marcelo5@hotmail.com;0;female;Санкт-Петербург, Елисеев пр., д.25, кв.855;;04.01.1997;;Оффлайн реклама;17711;Бронзовый;9037;6216
Зоя Харитонова;79868254030;Beryl_@yandex.ru;0;female;Санкт-Петербург, Дроздова проспект, д.15, кв.890;;04.04.1985;;;28657;;7565;8336
Игнатий Титов;79512230691;Terrence_53@yahoo.com;0;male;Санкт-Петербург, Дроздова пр., д.4, кв.415;;09.04.1996;;Справочник;46368;Бронзовый;9298;4316
София Жукова;79630972950;Ismael.42@ya.ru;0;female;Санкт-Петербург, Дроздова пр., д.66, кв.588;;22.11.1980;VIP;Справочник;75025;Бронзовый;8199;1656
Анфиса Быкова;79677271439;Sidney_@ya.ru;0;female;Санкт-Петербург, Щукин пл., д.21, кв.270;;27.10.1983;;Справочник;121393;Золотой;5751;1560
Арсений Гуляев;79055596112;Maurine_@ya.ru;0;male;Санкт-Петербург, Кудрявцев пл., д.53, кв.620;;07.12.1982;VIP;Газета;196418;Золотой;129;4089
Егор Куликов;79391826909;Ivy6@yandex.ru;0;male;Санкт-Петербург, Новиков улица, д.34, кв.636;;27.03.1982;;Справочник;317811;Платиновый;3644;9618
Анфиса Ефимова;79734277760;Elisa29@hotmail.com;0;female;Санкт-Петербург, Кудрявцев ул., д.29, кв.459;;28.09.1982;;Справочник;514229;;3827;9352
Лаврентий Герасимов;79157923584;Malachi.44@yandex.ru;0;male;Санкт-Петербург, Маркова пл., д.0, кв.667;;21.10.1999;VIP;Другой источник;832040;Бронзовый;5587;9945
